ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
42,39,4.728607,-74.05397,PNA,g/s,4.28616838889e-09,2.45455188889e-09,2.21508113889e-09,2.98514852778e-09,8.41736627778e-09,3.12319728889e-08,5.01243913333e-08,3.84300271111e-08,3.99472936667e-08,3.81891126944e-08,4.034113e-08,3.888199475e-08,3.92953866667e-08,4.18948948889e-08,4.46434193333e-08,4.57497526111e-08,4.561185025e-08,4.62915088611e-08,4.21653248333e-08,4.05290591389e-08,3.68338384167e-08,2.93500856111e-08,1.71085310556e-08,8.29545777778e-09,4.28616838889e-09,
53,37,4.8272,-74.072,PNA,g/s,5.70036053333e-08,3.26441178056e-08,2.945932475e-08,3.970073675e-08,1.11946073194e-07,4.15367340667e-07,6.66625596806e-07,5.11097292472e-07,5.31275948445e-07,5.07893247139e-07,5.36513837139e-07,5.17108105389e-07,5.22606059111e-07,5.57178076833e-07,5.9373174225e-07,6.08445348917e-07,6.06611360195e-07,6.15650458806e-07,5.60774599555e-07,5.39013195222e-07,4.89868838361e-07,3.90339276194e-07,2.27533643056e-07,1.1032479825e-07,5.70036053333e-08,
42,39,4.728607,-74.05397,POC,g/s,3.31651062222e-06,1.89925982222e-06,1.71396442222e-06,2.30981984444e-06,6.51310964444e-06,2.41663790222e-05,3.87847749333e-05,2.97360209778e-05,3.09100370667e-05,2.95496085111e-05,3.1214776e-05,3.00857402e-05,3.04056106667e-05,3.24170334222e-05,3.45437605333e-05,3.53998085778e-05,3.52931038e-05,3.58190035778e-05,3.26262841333e-05,3.13601900222e-05,2.85009372667e-05,2.27102301778e-05,1.32380764889e-05,6.41878044444e-06,3.31651062222e-06,
42,39,4.728607,-74.05397,PMN,g/s,7.02650555556e-10,4.02385555556e-10,3.63128055556e-10,4.89368611111e-10,1.37989611111e-09,5.11999555556e-09,8.21711333333e-09,6.30000444444e-09,6.54873666667e-09,6.26051027778e-09,6.6133e-09,6.3740975e-09,6.44186666667e-09,6.86801555556e-09,7.31859333333e-09,7.49995944444e-09,7.4773525e-09,7.58877194444e-09,6.91234833333e-09,6.64410805556e-09,6.03833416667e-09,4.81148944444e-09,2.80467722222e-09,1.35991111111e-09,7.02650555556e-10,
53,37,4.8272,-74.072,PSO4,g/s,2.90624938666e-06,1.66431485861e-06,1.5019426225e-06,2.0240867425e-06,5.70741455139e-06,2.11769250733e-05,3.39869771486e-05,2.6057583272e-05,2.70863639289e-05,2.58942294853e-05,2.73534103853e-05,2.63640361928e-05,2.66443417023e-05,2.84069478517e-05,3.02705855475e-05,3.10207382809e-05,3.09272349214e-05,3.13880807687e-05,2.85903115511e-05,2.74808366744e-05,2.49752801197e-05,1.99009040813e-05,1.16004857361e-05,5.6247561075e-06,2.90624938666e-06,
53,37,4.8272,-74.072,PNCOM,g/s,1.76617728e-05,1.0114325025e-05,9.127561275e-06,1.2300720075e-05,3.4684930875e-05,0.0001286957826,0.000206544652125,0.000158356374225,0.0001646084496,0.000157363645425,0.000166231336425,0.00016021874085,0.0001619222052,0.00017263386315,0.000183959507025,0.000188518313025,0.000187950077175,0.000190750715925,0.0001737481956,0.0001670057277,0.000151779033525,0.000120941185575,7.049812875e-05,3.4182601425e-05,1.76617728e-05,
42,39,4.728607,-74.05397,PTI,g/s,2.529542e-09,1.448588e-09,1.307261e-09,1.761727e-09,4.967626e-09,1.8431984e-08,2.9581608e-08,2.2680016e-08,2.3575452e-08,2.2537837e-08,2.380788e-08,2.2946751e-08,2.319072e-08,2.4724856e-08,2.6346936e-08,2.6999854e-08,2.6918469e-08,2.7319579e-08,2.4884454e-08,2.3918789e-08,2.1738003e-08,1.7321362e-08,1.0096838e-08,4.89568e-09,2.529542e-09,
42,39,4.728607,-74.05397,PMG,g/s,2.63493958333e-09,1.50894583333e-09,1.36173020833e-09,1.83513229167e-09,5.17461041667e-09,1.91999833333e-08,3.0814175e-08,2.36250166667e-08,2.45577625e-08,2.34769135417e-08,2.4799875e-08,2.3902865625e-08,2.4157e-08,2.57550583333e-08,2.7444725e-08,2.81248479167e-08,2.8040071875e-08,2.84578947917e-08,2.592130625e-08,2.49154052083e-08,2.2643753125e-08,1.80430854167e-08,1.05175395833e-08,5.09966666667e-09,2.63493958333e-09,
42,39,4.728607,-74.05397,PK,g/s,2.67007211111e-09,1.52906511111e-09,1.37988661111e-09,1.85960072222e-09,5.24360522222e-09,1.94559831111e-08,3.12250306667e-08,2.39400168889e-08,2.48851993333e-08,2.37899390556e-08,2.513054e-08,2.42215705e-08,2.44790933333e-08,2.60984591111e-08,2.78106546667e-08,2.84998458889e-08,2.84139395e-08,2.88373333889e-08,2.62669236667e-08,2.52476106111e-08,2.29456698333e-08,1.82836598889e-08,1.06577734444e-08,5.16766222222e-09,2.67007211111e-09,
42,39,4.728607,-74.05397,PNH4,g/s,1.33503605556e-09,7.64532555556e-10,6.89943305556e-10,9.29800361111e-10,2.62180261111e-09,9.72799155556e-09,1.56125153333e-08,1.19700084444e-08,1.24425996667e-08,1.18949695278e-08,1.256527e-08,1.211078525e-08,1.22395466667e-08,1.30492295556e-08,1.39053273333e-08,1.42499229444e-08,1.420696975e-08,1.44186666944e-08,1.31334618333e-08,1.26238053056e-08,1.14728349167e-08,9.14182994444e-09,5.32888672222e-09,2.58383111111e-09,1.33503605556e-09,
53,37,4.8272,-74.072,PNO3,g/s,1.401728e-07,8.02724208333e-08,7.24409625e-08,9.76247625e-08,2.75277229167e-07,1.0213951e-06,1.63924327083e-06,1.25679662084e-06,1.30641626667e-06,1.24891782083e-06,1.31929632084e-06,1.27157730833e-06,1.28509686667e-06,1.370110025e-06,1.4599960875e-06,1.4961770875e-06,1.49166727917e-06,1.51389457084e-06,1.37895393333e-06,1.32544228333e-06,1.20459550416e-06,9.59850679166e-07,5.59508958333e-07,2.712904875e-07,1.401728e-07,
53,37,4.8272,-74.072,PAL,g/s,5.65363626667e-08,3.23765430694e-08,2.9217854875e-08,3.9375320875e-08,1.11028482431e-07,4.11962690333e-07,6.61161452569e-07,5.06907970403e-07,5.26921227555e-07,5.03730187736e-07,5.32116182736e-07,5.12869514361e-07,5.18322402889e-07,5.52611043417e-07,5.88865088625e-07,6.03458091958e-07,6.0163913593e-07,6.10604143569e-07,5.56178086445e-07,5.34595054278e-07,4.85853520014e-07,3.87139773931e-07,2.25668613194e-07,1.09420496625e-07,5.65363626667e-08,
