ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
53,37,4.8272,-74.072,PM2.5 BRAKE,g/s,0.00268848196944,0.00192895544444,0.00185476857223,0.00195669531667,0.00267243565,0.00519415563333,0.00867625748889,0.00980173031111,0.0103615310361,0.0098441926,0.0102665799611,0.0103076239083,0.00946931133889,0.0104491223111,0.00987698928889,0.0117047029278,0.0112089141666,0.0107818038611,0.0106862699306,0.0104842125861,0.00940126956667,0.00758506476667,0.00637827994445,0.00421552640833,0.00268848196944,
53,37,4.8272,-74.072,PNA,g/s,8.46280786666e-08,6.02864044444e-08,5.76948515556e-08,6.02918511111e-08,8.10068857778e-08,1.60678258223e-07,2.75899724444e-07,3.14005004e-07,3.31942177778e-07,3.15441061333e-07,3.27640696444e-07,3.28458188e-07,3.02814507111e-07,3.32430038222e-07,3.15383700445e-07,3.73302093778e-07,3.59257132444e-07,3.47484976444e-07,3.45055190666e-07,3.36442650223e-07,3.01160534666e-07,2.43151323556e-07,2.03329500889e-07,1.33787157333e-07,8.46280786666e-08,
53,37,4.8272,-74.072,PMOTHR,g/s,0.000237651512661,0.000169295527381,0.000162017960952,0.000169310822643,0.000227482524055,0.000451214676262,0.000774778157439,0.000881784927171,0.000932155874358,0.000885817645423,0.000920076508247,0.000922372177814,0.000850359913689,0.00093352587796,0.000885656565292,0.00104830227347,0.00100886138862,0.000975802967289,0.00096897967324,0.000944794044821,0.000845715248944,0.000682814507417,0.000570987362778,0.000375699422884,0.000237651512661,
42,39,4.728607,-74.05397,POC,g/s,4.25545003889e-06,3.03144969444e-06,2.90113469167e-06,3.03172343611e-06,4.07336100556e-06,8.07956673056e-06,1.38733771694e-05,1.57894674833e-05,1.66914233889e-05,1.58616788111e-05,1.647512705e-05,1.6516233775e-05,1.52267648861e-05,1.67159555167e-05,1.58587948639e-05,1.87711707972e-05,1.80649318611e-05,1.74729793278e-05,1.73508010806e-05,1.69177254167e-05,1.51435952722e-05,1.22266528167e-05,1.02242464944e-05,6.72737117222e-06,4.25545003889e-06,
42,39,4.728607,-74.05397,PMN,g/s,4.25545003889e-08,3.03144969444e-08,2.90113469167e-08,3.03172343611e-08,4.07336100556e-08,8.07956673056e-08,1.38733771694e-07,1.57894674833e-07,1.66914233889e-07,1.58616788111e-07,1.647512705e-07,1.6516233775e-07,1.52267648861e-07,1.67159555167e-07,1.58587948639e-07,1.87711707972e-07,1.80649318611e-07,1.74729793278e-07,1.73508010806e-07,1.69177254167e-07,1.51435952722e-07,1.22266528167e-07,1.02242464944e-07,6.72737117222e-08,4.25545003889e-08,
53,37,4.8272,-74.072,PSO4,g/s,1.76661114217e-05,1.25847869278e-05,1.20438002623e-05,1.25859239195e-05,1.69101874061e-05,3.35415864039e-05,5.75940674777e-05,6.5548544585e-05,6.92929296111e-05,6.58483215534e-05,6.83949953828e-05,6.8565646745e-05,6.32125283595e-05,6.93947704789e-05,6.58363474678e-05,7.79268120761e-05,7.49949263978e-05,7.25374888328e-05,7.20302710517e-05,7.02324032339e-05,6.28672616116e-05,5.07578387923e-05,4.24450333106e-05,2.79280690934e-05,1.76661114217e-05,
53,37,4.8272,-74.072,PNCOM,g/s,2.26380110433e-05,1.61266131889e-05,1.54333727911e-05,1.61280701722e-05,2.16693419456e-05,4.29814340744e-05,7.38031762889e-05,8.399633857e-05,8.87945325556e-05,8.43804839067e-05,8.76438862988e-05,8.786256529e-05,8.10028806522e-05,8.89250352244e-05,8.43651398689e-05,9.98583100855e-05,9.61012829289e-05,9.29522311989e-05,9.23022635033e-05,8.99984089344e-05,8.05604430234e-05,6.50429790511e-05,5.43906414877e-05,3.57880645867e-05,2.26380110433e-05,
42,39,4.728607,-74.05397,PTI,g/s,1.4317402e-07,1.019927e-07,9.760827e-08,1.0200191e-07,1.3704766e-07,2.7183589e-07,4.6676783e-07,5.3123442e-07,5.615806e-07,5.3366396e-07,5.5430334e-07,5.5568637e-07,5.1230237e-07,5.6240598e-07,5.3356693e-07,6.3155341e-07,6.077921e-07,5.8787594e-07,5.8376527e-07,5.691945e-07,5.0950414e-07,4.1136402e-07,3.4399334e-07,2.2634146e-07,1.4317402e-07,
42,39,4.728607,-74.05397,PMG,g/s,4.41453228333e-06,3.14477491667e-06,3.009588325e-06,3.14505889167e-06,4.22563618333e-06,8.38160660833e-06,1.43920080917e-05,1.637972795e-05,1.73154018333e-05,1.64546387667e-05,1.709101965e-05,1.7133663075e-05,1.57959897417e-05,1.734085105e-05,1.64516470083e-05,1.94728968083e-05,1.87402564167e-05,1.81261748167e-05,1.79994291583e-05,1.755016375e-05,1.57097109833e-05,1.268372395e-05,1.06064613167e-05,6.97886168333e-06,4.41453228333e-06,
42,39,4.728607,-74.05397,PK,g/s,7.55640661111e-09,5.38294805556e-09,5.15154758333e-09,5.38343413889e-09,7.23307094444e-09,1.43468941944e-08,2.46349688056e-08,2.80373721667e-08,2.96389761111e-08,2.81655978889e-08,2.92548985e-08,2.932789175e-08,2.70381806389e-08,2.96825378333e-08,2.81604768611e-08,3.33319855278e-08,3.20779163889e-08,3.10267857222e-08,3.08098336944e-08,3.00408208333e-08,2.68904962778e-08,2.17108788333e-08,1.81552040556e-08,1.19457992778e-08,7.55640661111e-09,
