Estacion,Tipo,IDEstacion,IDNodo,hora,>c5_Dsel,>c5_GNV,>c5_Gas,AL_Dsel,AT_Dsel,AUT_GNV,AUT_Gas,BA_Dsel,BT_Dsel,B_Dsel,C2G_Dsel,C2G_GNV,C2G_Gas,C2P_Dsel,C2P_GNV,C2P_Gas,C3-C4_Dsel,C3-C4_GNV,C3-C4_Gas,CC_Dsel,CC_GNV,CC_Gas,ESP_Dsel,ESP_GNV,ESP_Gas,INT_Dsel,INT_GNV,INT_Gas,MB_Dsel,M_Gas,TX_GNV,TX_Gas,c5_Dsel,c5_GNV,c5_Gas
L_AK_45_AC_170,NOHAB,1,3493,20,4.269018885,1.27774773,5.525876528,7.98,53.865,32.23177556,1940.361596,5.098333333,15.2,13.14166666,15.88194034,1.466095337,3.049686463,14.33248273,1.323061645,2.752156075,1.707607554,0.511099092,2.210350611,116.0830085,13.3088547,698.333112,0.765878829,0.073416946,29.03522826,11.6116515,6.73131303,7.292484194,7.758333334,265.7466666,262.5123241,180.2066719,2.0870759,0.624676668,2.701539636
L_AK_45_AC_170,NOHAB,1,3493,21,2.84601259,0.85183182,3.683917685,8.645,47.65833333,25.80901727,1553.709811,5.32,15.35833334,10.925,11.42724975,1.054873474,2.194286601,6.97255917,0.643651611,1.33888674,1.612740467,0.482704698,2.087553355,92.95139091,10.65682715,559.1777378,0.597125866,0.057240331,22.63763559,6.665948083,3.864272294,4.18642611,6.016666666,225.4666666,210.202044,144.2972665,0.853803777,0.255549546,1.105175306
L_AK_45_AC_170,NOHAB,1,3493,22,4.743354317,1.4197197,6.139862809,16.40333333,40.34333333,19.37396897,1166.318165,10.41833333,17.41666666,8.233333334,27.30919008,2.520968811,5.243973064,6.197830373,0.572134766,1.190121546,3.225480936,0.965409396,4.17510671,69.77551079,7.999724914,419.7560886,0.720445339,0.069061704,27.31279946,5.160734002,2.99169468,3.241104086,4.908333334,189.24,157.7916678,108.3191481,2.940879677,0.880226214,3.806714942
L_AK_45_AC_170,NOHAB,1,3493,23,6.071493527,1.817241217,7.859024398,13.3,18.39833333,12.81110457,771.2319558,2.216666667,19.31666666,3.166666666,23.0481817,2.127626159,4.4257645,5.229419378,0.482738708,1.004165055,1.423006295,0.42591591,1.841958843,46.13929995,5.289846009,277.565178,0.499768388,0.047907668,18.94671674,2.257821126,1.308866423,1.417983038,1.583333334,110.7066667,104.3402908,71.62641456,2.0870759,0.624676668,2.701539636
AK_45_AC_170,HABIL,1,3493,0,3.756736619,1.124418003,4.862771345,5.586,2.66,2.958450779,178.0995361,0,7.98,2.28,21.53746054,1.98816831,4.135672373,5.500574456,0.507769604,1.056232872,1.973235396,0.590603395,2.554182929,10.65488515,1.221576872,64.09774526,0.308947731,0.029615649,11.71251581,1.204171267,0.698062092,0.75625762,0.38,43.776,24.09516002,16.54058952,2.84601259,0.85183182,3.683917685
AK_45_AC_170,HABIL,1,3493,1,3.870577122,1.158491275,5.010128052,0.088666667,0.177333333,1.572137852,94.64312335,0,3.99,0.823333334,15.10721154,1.394578491,2.900921269,4.880791419,0.450556128,0.937220718,2.0870759,0.624676668,2.701539636,5.662067583,0.649153014,34.06191248,0.257023742,0.024638229,9.744025755,0.64509175,0.373961835,0.405138011,0.19,23.00266666,12.80430737,8.789764918,2.162969568,0.647392183,2.799777441
AK_45_AC_170,HABIL,1,3493,2,4.09825813,1.226637821,5.304841467,0,0.266,1.28504326,77.35995135,0,2.913333334,0.443333334,14.4874285,1.337365015,2.781909115,9.29674556,0.858202148,1.78518232,2.618331583,0.783685275,3.389204271,4.628094016,0.530608498,27.84172584,0.233657948,0.02239839,8.858205231,1.41920185,0.822716037,0.891303624,0,17.42933334,10.46605987,7.184629611,2.200916403,0.658749941,2.848896344
AK_45_AC_170,HABIL,1,3493,3,6.564802372,1.964892065,8.497570125,3.192,0.354666667,1.670457918,100.5620179,0,3.673333334,1.9,20.37536735,1.880893042,3.912524583,8.599489643,0.793836987,1.651293646,3.870577122,1.158491275,5.010128052,6.016168122,0.689750451,36.1921134,0.218080751,0.020905164,8.267658216,1.591226317,0.922439193,0.999340427,0.38,20.26666666,13.60507706,9.339468793,3.377268273,1.010840427,4.37158232
AK_45_AC_170,HABIL,1,3493,4,12.37066806,3.702628978,16.0127622,12.14733333,11.61533333,3.7371457,224.9771806,0.975333333,13.74333334,15.58,45.01174308,4.155128735,8.64325773,17.97370809,1.659190821,3.451352485,8.082675756,2.419202369,10.46232623,13.4593614,1.543108571,80.96893643,1.947149564,0.186653253,73.81837693,6.880978671,3.988926241,4.321472116,4.18,49.04533334,30.43725598,20.89424419,6.261227698,1.874030004,8.104618908
AK_45_AC_170,HABIL,1,3493,5,12.78808324,3.827564313,16.55307014,19.77266667,40.166,19.09867278,1149.74526,8.157333333,23.49666666,37.11333334,110.7087451,10.21975725,21.25854612,32.84850098,3.032314258,6.307644196,14.41979712,4.315947888,18.66518294,68.78402927,7.88605209,413.791526,8.684287056,0.832473508,329.2299611,16.04128152,9.299184298,10.07443187,11.08333334,255.36,155.5495126,106.7799772,8.727771941,2.612284248,11.29734757
